payment_id,customer_id,prediction_time,logged_action,logging_probability,logged_recovered,base_policy_intervention,fraud_flag,selected_action,decision_type,fallback_used,failure_class,risk_checks_passed,probability_margin,expected_value_margin_inr,margin_fallback_triggered,decision_reasons,predicted_retry_payment_probability,retry_payment_supported,retry_payment_support_count,retry_payment_support_ess,predicted_payment_link_probability,payment_link_supported,payment_link_support_count,payment_link_support_ess,predicted_whatsapp_reminder_probability,whatsapp_reminder_supported,whatsapp_reminder_support_count,whatsapp_reminder_support_ess,predicted_escalate_to_merchant_probability,escalate_to_merchant_supported,escalate_to_merchant_support_count,escalate_to_merchant_support_ess
TXN0000052804,C006608,2024-11-05 22:28:08,retry_payment,0.90000000,1,retry_payment,0,retry_payment,fallback,True,technical_retryable,True,0.02163315,,False,"[""decision_uncertain"", ""expected_value_margin:19.123287618160248"", ""probability_margin:0.005205094814300537"", ""margin_not_applicable_to_non_allow_decision""]",0.58747286,True,387,66.60326136,0.58226776,True,625,91.91881191,0.60910600,True,50,36.09870729,0.45156270,True,196,56.61961283
TXN0000179482,C001992,2024-11-05 22:40:55,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,no_action,stop,False,customer_decline,False,0.01834011,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.58701706,False,49,7.23938140,0.64952093,False,8,4.29589038,0.63118082,False,23,3.80324523,0.41939995,False,11,2.70552140
TXN0000170868,C007195,2024-11-05 22:49:41,retry_payment,0.90000000,1,retry_payment,0,no_action,stop,False,technical_retryable,False,0.04197279,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.47556052,True,382,61.49646714,0.51753330,True,55,50.36414754,0.47375017,True,122,42.51287438,0.38959372,True,685,101.16768160
TXN0000239488,C005520,2024-11-06 03:38:43,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,retry_payment,fallback,True,technical_retryable,True,0.02882153,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.54832643,True,172,27.72056966,0.60012668,False,17,16.07278182,0.57130516,True,66,18.92736169,0.44790515,True,211,29.09046962
TXN0000021257,C002908,2024-11-06 06:26:00,retry_payment,0.90000000,0,retry_payment,0,whatsapp_reminder,fallback,True,customer_decline,True,0.01114428,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.60484898,True,126,18.74890631,0.63199848,False,9,9.00000000,0.62085420,True,73,15.08078281,0.47585264,True,237,33.53941007
TXN0000145269,C000023,2024-11-06 07:09:51,retry_payment,0.90000000,0,retry_payment,0,retry_payment,fallback,True,technical_retryable,True,0.02263403,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.45508429,True,60,8.27440554,0.49355298,False,1,1.00000000,0.51618701,False,46,6.69767366,0.36813471,True,93,13.89845234
TXN0000181411,C007252,2024-11-06 07:10:50,payment_link,0.90000000,0,payment_link,0,payment_link,allow,False,technical_retryable,True,0.01668209,193.16000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:193.16"", ""probability_margin:0.03481424"", ""decision_margin_passed""]",0.51862836,True,387,66.60326136,0.55344260,True,625,91.91881191,0.53676051,True,50,36.09870729,0.33502489,True,196,56.61961283
TXN0000029557,C003698,2024-11-06 08:54:30,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,fallback,True,authentication_required,True,0.03326374,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.49645665,True,359,56.24386377,0.54334360,True,85,37.80492775,0.51007986,True,126,41.91580028,0.40280002,True,694,97.85794000
TXN0000018440,C004676,2024-11-06 10:06:38,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,retry_payment,fallback,True,technical_retryable,True,0.00399637,,False,"[""decision_uncertain"", ""expected_value_margin:2.255403518676758"", ""probability_margin:-0.006971597671508789"", ""margin_not_applicable_to_non_allow_decision""]",0.52608383,True,134,25.67475706,0.53305542,True,55,23.54174517,0.53705180,True,69,17.37637634,0.39764392,True,213,29.38877094
TXN0000231148,C000062,2024-11-06 10:10:34,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,retry_payment,fallback,True,technical_retryable,True,0.01730907,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.45378962,True,172,27.72056966,0.52406049,False,17,16.07278182,0.50675142,True,66,18.92736169,0.40389347,True,211,29.09046962
